year,title,category,nominee,artist,track_id,artists,album_name,track_name,popularity,explicit,danceability,energy,loudness,acousticness,valence,track_genre,duration_min
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,84,False,70.1,42.5,-10.965,32.8,56.2,electro,3.23
2019,62nd Annual GRAMMY Awards  (2019),Best Pop Solo Performance,bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,84,False,70.1,42.5,-10.965,32.8,56.2,electro,3.23
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,7 rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,"thank u, next",7 rings,84,True,77.8,31.7,-10.732,59.2,32.7,dance,2.98
2019,62nd Annual GRAMMY Awards  (2019),Best Pop Solo Performance,7 rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,"thank u, next",7 rings,84,True,77.8,31.7,-10.732,59.2,32.7,dance,2.98
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,truth hurts,Lizzo,5djmFvrnR30Tj9Yyj8tOQQ,Lizzo,Give You Love - Cozy Hits,truth hurts,1,True,71.5,62.2,-3.046,11.0,40.7,hip-hop,2.89
2019,62nd Annual GRAMMY Awards  (2019),Best Pop Solo Performance,truth hurts,Lizzo,5djmFvrnR30Tj9Yyj8tOQQ,Lizzo,Give You Love - Cozy Hits,truth hurts,1,True,71.5,62.2,-3.046,11.0,40.7,hip-hop,2.89
2019,62nd Annual GRAMMY Awards  (2019),Best Pop Duo/Group Performance,sucker,Jonas Brothers,22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Happiness Begins,sucker,81,False,84.2,73.4,-5.065,4.27,95.2,dance,3.02
2019,62nd Annual GRAMMY Awards  (2019),Best Metal Performance,bow down,I Prevail,5qD3Qv8Wu3r5uRD0DahcZy,I Prevail,TRAUMA,bow down,65,True,42.6,95.9,-4.95,0.01,37.2,metalcore,4.04
2019,62nd Annual GRAMMY Awards  (2019),Best Country Solo Performance,god's country,Blake Shelton,6hES6A4ZOL8MzYpULEfsoZ,Blake Shelton,Single Saturday Night - Country Songs,god's country,0,False,53.7,75.4,-5.102,5.86,21.2,country,3.41
2019,62nd Annual GRAMMY Awards  (2019),Best Country Duo/Group Performance,speechless,Dan + Shay,3GJ4hzg4lrGwU51Y3VARbF,Dan + Shay,Dan + Shay,speechless,72,False,61.6,43.8,-5.968,35.6,38.6,country,3.56
2018,61st Annual GRAMMY Awards  (2018),Best Country Solo Performance,butterflies,Kacey Musgraves,30VHURM5NOfoZmqp2iKawS,Kacey Musgraves,Golden Hour,butterflies,68,False,68.9,61.4,-6.137,25.2,41.1,country,3.65
2018,61st Annual GRAMMY Awards  (2018),Best Country Duo/Group Performance,tequila,Dan + Shay,42fw0rxRO2xbesF6mJfd4Y,Dan + Shay,Dan + Shay,tequila,72,False,48.9,58.1,-5.731,3.12,49.4,country,3.28
2018,61st Annual GRAMMY Awards  (2018),Best American Roots Performance,the joke,Brandi Carlile,18k8IlS52uxRWObykDUZFG,Brandi Carlile,"By The Way, I Forgive You",the joke,60,False,23.6,57.8,-5.477,32.7,22.7,acoustic,4.66
2017,60th Annual GRAMMY Awards  (2017),Best Pop Solo Performance,shape of you,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,÷ (Deluxe),shape of you,86,False,82.5,65.2,-3.183,58.1,93.1,pop,3.9
2017,60th Annual GRAMMY Awards  (2017),Best Rock Performance,you want it darker,Leonard Cohen,5zb7npjQqoJ7Kcpq4yD9qn,Leonard Cohen,You Want It Darker,you want it darker,62,False,67.4,32.7,-16.986,61.3,49.4,singer-songwriter,4.74
